s,Volts
-1.6808e-006,           0
-1.6804e-006,           0
  -1.68e-006,-0.0199999996
-1.6796e-006,-0.0199999996
-1.6792e-006,-0.0399999991
-1.6788e-006,-0.0199999996
-1.6784e-006,-0.0199999996
 -1.678e-006,-0.0199999996
-1.6776e-006,-0.0399999991
-1.6772e-006,0.0199999996
-1.6768e-006,-0.0399999991
-1.6764e-006,0.0199999996
 -1.676e-006,-0.0399999991
-1.6756e-006,-0.0399999991
-1.6752e-006,-0.0199999996
-1.6748e-006,           0
-1.6744e-006,-0.0399999991
 -1.674e-006,-0.0399999991
-1.6736e-006,-0.0199999996
-1.6732e-006,-0.0399999991
-1.6728e-006,-0.0199999996
-1.6724e-006,-0.0399999991
 -1.672e-006,           0
-1.6716e-006,-0.0199999996
-1.6712e-006,-0.0199999996
-1.6708e-006,           0
-1.6704e-006,-0.0399999991
  -1.67e-006,           0
-1.6696e-006,-0.0399999991
-1.6692e-006,           0
-1.6688e-006,-0.0199999996
-1.6684e-006,-0.0199999996
 -1.668e-006,-0.0199999996
-1.6676e-006,-0.0199999996
-1.6672e-006,-0.0399999991
-1.6668e-006,           0
-1.6664e-006,           0
 -1.666e-006,           0
-1.6656e-006,-0.0199999996
-1.6652e-006,0.0199999996
-1.6648e-006,-0.0199999996
-1.6644e-006,           0
 -1.664e-006,-0.0199999996
-1.6636e-006,-0.0199999996
-1.6632e-006,-0.0199999996
-1.6628e-006,-0.0199999996
-1.6624e-006,           0
 -1.662e-006,-0.0399999991
-1.6616e-006,           0
-1.6612e-006,-0.0199999996
-1.6608e-006,-0.0399999991
-1.6604e-006,-0.0199999996
  -1.66e-006,           0
-1.6596e-006,-0.0199999996
-1.6592e-006,-0.0199999996
-1.6588e-006,-0.0199999996
-1.6584e-006,           0
 -1.658e-006,           0
-1.6576e-006,           0
-1.6572e-006,           0
-1.6568e-006,           0
-1.6564e-006,-0.0399999991
 -1.656e-006,           0
-1.6556e-006,           0
-1.6552e-006,-0.0199999996
-1.6548e-006,-0.0199999996
-1.6544e-006,-0.0199999996
 -1.654e-006,-0.0199999996
-1.6536e-006,           0
-1.6532e-006,-0.0199999996
-1.6528e-006,-0.0399999991
-1.6524e-006,-0.0199999996
 -1.652e-006,           0
-1.6516e-006,-0.0399999991
-1.6512e-006,0.0199999996
-1.6508e-006,           0
-1.6504e-006,-0.0199999996
  -1.65e-006,           0
-1.6496e-006,-0.0199999996
-1.6492e-006,           0
-1.6488e-006,-0.0199999996
-1.6484e-006,-0.0199999996
 -1.648e-006,           0
-1.6476e-006,-0.0399999991
-1.6472e-006,-0.0199999996
-1.6468e-006,           0
-1.6464e-006,-0.0199999996
 -1.646e-006,-0.0199999996
-1.6456e-006,-0.0199999996
-1.6452e-006,-0.0199999996
-1.6448e-006,           0
-1.6444e-006,-0.0399999991
 -1.644e-006,           0
-1.6436e-006,-0.0199999996
-1.6432e-006,           0
-1.6428e-006,           0
-1.6424e-006,           0
 -1.642e-006,-0.0199999996
-1.6416e-006,-0.0199999996
-1.6412e-006,-0.0199999996
-1.6408e-006,           0
-1.6404e-006,-0.0199999996
  -1.64e-006,-0.0199999996
-1.6396e-006,-0.0199999996
-1.6392e-006,           0
-1.6388e-006,-0.0199999996
-1.6384e-006,-0.0599999987
 -1.638e-006,-0.0199999996
-1.6376e-006,-0.0399999991
-1.6372e-006,-0.0399999991
-1.6368e-006,           0
-1.6364e-006,           0
 -1.636e-006,-0.0399999991
-1.6356e-006,-0.0199999996
-1.6352e-006,-0.0199999996
-1.6348e-006,-0.0399999991
-1.6344e-006,0.0199999996
 -1.634e-006,-0.0199999996
-1.6336e-006,-0.0199999996
-1.6332e-006,-0.0199999996
-1.6328e-006,-0.0399999991
-1.6324e-006,-0.0399999991
 -1.632e-006,-0.0399999991
-1.6316e-006,-0.0199999996
-1.6312e-006,-0.0199999996
-1.6308e-006,           0
-1.6304e-006,-0.0199999996
  -1.63e-006,-0.0399999991
-1.6296e-006,           0
-1.6292e-006,-0.0199999996
-1.6288e-006,-0.0199999996
-1.6284e-006,-0.0399999991
 -1.628e-006,           0
-1.6276e-006,           0
-1.6272e-006,0.0199999996
-1.6268e-006,-0.0199999996
-1.6264e-006,-0.0399999991
 -1.626e-006,           0
-1.6256e-006,-0.0199999996
-1.6252e-006,0.0199999996
-1.6248e-006,-0.0199999996
-1.6244e-006,           0
 -1.624e-006,           0
-1.6236e-006,0.0199999996
-1.6232e-006,-0.0199999996
-1.6228e-006,0.0199999996
-1.6224e-006,-0.0399999991
 -1.622e-006,           0
-1.6216e-006,-0.0399999991
-1.6212e-006,           0
-1.6208e-006,           0
-1.6204e-006,-0.0399999991
  -1.62e-006,-0.0399999991
-1.6196e-006,           0
-1.6192e-006,-0.0399999991
-1.6188e-006,-0.0199999996
-1.6184e-006,-0.0399999991
 -1.618e-006,-0.0199999996
-1.6176e-006,-0.0199999996
-1.6172e-006,-0.0199999996
-1.6168e-006,-0.0199999996
-1.6164e-006,-0.0399999991
 -1.616e-006,-0.0599999987
-1.6156e-006,           0
